question,auroc_a,auroc_b,delta_auroc,p_value,n_patients
effect of learnable temperature alone,0.5222772217894168,0.4985182077865006,0.023759014002916246,0.03722701964543907,2278
"effect of w^T, given tau",0.4985182077865006,0.5099946065799724,-0.011476398793471843,0.41492009163306254,2278
"effect of w^C, given tau",0.4985182077865006,0.5025792533109609,-0.004061045524460294,0.6816580377404753,2278
what the rest of TC-WPN adds over w^C,0.5025792533109609,0.7378861788617886,-0.23530692555082777,5.033443383636578e-52,2278
TC-WPN vs the FAIR baseline,0.4985182077865006,0.7378861788617886,-0.23936797107528807,2.1430340656541898e-52,2278
"Stage B headline, for continuity",0.5222772217894168,0.7378861788617886,-0.21560895707237182,2.0687564584825634e-45,2278
