split,n_records,same_count,same_note_ids,same_labels,fingerprint_match,chunks_old_mean,chunks_new_mean,chunks_new_max,tokens_old_mean,tokens_new_mean,token_gain_pct,pct_records_with_extra_chunk
train,15566,True,True,True,True,1.0,3.937234999357574,4,511.8190928947707,1993.2402672491328,289.4423429918704,99.85224206604137
val,3383,True,True,True,True,1.0,3.9388117055867573,4,511.9420632574638,1992.4948270765592,289.20318725099594,99.94088087496304
test,3450,True,True,True,True,1.0,3.945217391304348,4,511.9640579710145,2000.0428985507247,290.66080272845244,99.91304347826086
