run,proto_cos,support_spread,gap_case,gap_control,gap_abs,logit_spread,p_sd,tau,grad_encoder,grad_projection
pcw_only_k5_seed42,0.99984,0.99926,5e-05,-1e-05,0.00032,0.00263,0.00076,8.10699,3.07e-01,2.94e-01
protonet_k5_seed42,0.99998,0.99989,1e-05,-0.0,5e-05,0.00054,0.00016,10.0,1.39e-01,1.86e-01
protonet_temp_k5_seed42,0.99986,0.99935,5e-05,-2e-05,0.00036,0.00293,0.00083,8.09104,3.27e-01,2.77e-01
tcwpn_full_k5_seed42,0.93159,0.90489,0.0833,-0.09781,0.16311,1.13838,0.2373,6.97925,5.04e+00,4.04e-01
temporal_only_k5_seed42,0.99966,0.99869,0.00012,-6e-05,0.00092,0.00628,0.00182,6.80245,1.73e-01,1.66e-01
