contrast,characteristic,FP_mean,TN_mean,cliffs_delta,p_raw,n_err,n_ref,p_holm,FN_mean,TP_mean
FP_vs_TN,has_psych_term_seen,0.47049924357034795,0.9242424242424242,-0.4537431806720763,4.918554964644562e-37,661,264,1.2788242908075862e-35,,
FP_vs_TN,psych_terms_seen,1.0152546646495209,1.671717171717172,-0.4301677898500894,8.258835498356554e-27,661,264,2.0647088745891385e-25,,
FP_vs_TN,n_chars_full,9565.510716086737,8391.052777777779,0.22816095906111045,5.800080424944633e-08,661,264,1.3920193019867119e-06,,
FP_vs_TN,n_words_full,1452.2716843166918,1272.077398989899,0.22796039059276585,5.956827902754947e-08,661,264,1.3920193019867119e-06,,
FP_vs_TN,frac_note_seen,0.2342476172390375,0.25968938694869936,-0.18501581625636088,1.0875453350015573e-05,661,264,0.00018488270695026475,,
FP_vs_TN,days_in_pkl,221.6022881996974,76.1550925925926,0.17217943428230864,4.242857829651453e-05,661,264,0.0006788572527442325,,
FP_vs_TN,days_before_index,221.6022881996974,76.1550925925926,0.17217943428230864,4.242857829651453e-05,661,264,0.0006788572527442325,,
FP_vs_TN,n_sections,39.186207766011094,37.12348484848485,0.1479736854169531,0.0004310226531903859,661,264,0.006034317144665402,,
FP_vs_TN,n_notes_patient,1.43267776096823,1.1174242424242424,0.14458694356576363,3.4458454853970966e-07,661,264,7.236275519333903e-06,,
FP_vs_TN,note_index_within_patient,0.20940494200706003,0.05707070707070707,0.14004836565350942,5.469271469808077e-07,661,264,1.0391615792635346e-05,,
FP_vs_TN,days_since_patient_first_note,91.035930408472,24.483585858585855,0.13938362444413888,6.418601132829578e-07,661,264,1.155348203909324e-05,,
FP_vs_TN,anx_terms_seen,0.22818961169944527,0.043560606060606064,0.12926351258423874,2.4600647383209947e-07,661,264,5.412142424306188e-06,,
FP_vs_TN,has_anx_term_seen,0.17246596066565809,0.045454545454545456,0.1270114152111126,3.719076837103068e-07,661,264,7.438153674206136e-06,,
FP_vs_TN,unrelated_terms_seen,0.7962682803832577,1.0436868686868686,-0.08516710218676937,0.025889467538853503,661,264,0.33656307800509555,,
FP_vs_TN,has_indirect_term_seen,0.6505295007564297,0.5795454545454546,0.0709840462109752,0.043544879837729845,661,264,0.5225385580527582,,
FP_vs_TN,indirect_terms_seen,1.278996469994957,1.1590909090909092,0.0642564067299316,0.11334338486277619,661,264,1.0,,
FP_vs_TN,anx_in_famsoc,0.01361573373676248,0.0,0.013615733736762392,0.0569895997318386,661,264,0.6268855970502246,,
FP_vs_TN,has_med_term_seen,0.2042360060514372,0.19318181818181818,0.011054187869619092,0.7051266709809658,661,264,1.0,,
FP_vs_TN,anxiety_in_full_but_not_in_window,0.19818456883509833,0.1893939393939394,0.008790629441159048,0.7611406318943101,661,264,1.0,,
FP_vs_TN,anx_all_negated,0.007564296520423601,0.0,0.0075642965204236745,0.15702767639316756,661,264,1.0,,
FP_vs_TN,med_terms_seen,0.2986636409480585,0.290530303030303,0.006962591115389882,0.8129520447403925,661,264,1.0,,
FP_vs_TN,has_famsoc_section,0.9334341906202723,0.9393939393939394,-0.005959748773667117,0.7399890597829564,661,264,1.0,,
FP_vs_TN,n_tokens_model_saw,512.0,511.68939393939394,0.0037878787878788955,0.11412006785552767,661,264,1.0,,
FP_vs_TN,anx_only_in_family_or_social,0.0030257186081694403,0.0,0.00302571860816947,0.3721031545215959,661,264,1.0,,
FP_vs_TN,indirect_only_no_direct,0.5521936459909228,0.553030303030303,-0.0008366570393801842,0.9816982488233533,661,264,1.0,,
FP_vs_TN,anx_coded_this_adm,0.0,0.0,0.0,1.0,661,264,1.0,,
FN_vs_TP,anx_terms_seen,,,-0.3704059554250957,1.1091599463606727e-12,106,1247,2.8838158605377492e-11,0.08490566037735849,0.6615878107457899
FN_vs_TP,has_anx_term_seen,,,-0.34851190025873413,3.2699074706562645e-12,106,1247,8.174768676640662e-11,0.10377358490566038,0.45228548516439454
FN_vs_TP,has_psych_term_seen,,,0.3295077998517195,6.50367793425072e-11,106,1247,1.5608827042201726e-09,0.7641509433962265,0.43464314354450684
FN_vs_TP,psych_terms_seen,,,0.3111543175318878,5.8541005091522584e-09,106,1247,1.3464431171050194e-07,1.4261006289308178,1.0388933440256616
FN_vs_TP,anxiety_in_full_but_not_in_window,,,0.1431889364663872,0.003963858780073954,106,1247,0.087204893161627,0.5377358490566038,0.3945469125902165
FN_vs_TP,indirect_terms_seen,,,-0.12477493153379426,0.028670905444791214,106,1247,0.5447472034510331,1.1273584905660377,1.4625768511093291
