split,n_patients,prevalence,auroc,pr_auc,f1_positive,sensitivity,specificity,ppv,npv,brier,ece,episodes_scored,coverage_note
train,3277,0.5202929508696978,0.7957642169043302,0.799647563914949,0.7488899851998027,0.8903225806451613,0.4713740458015267,0.6462324393358876,0.7984913793103449,0.18563067574507194,0.039283480587819754,400,capped
val,2231,0.5979381443298969,0.7525702031927182,0.8141113327381888,0.7765754296626353,0.9145427286356822,0.34448160535117056,0.6747787610619469,0.7304964539007093,0.2036159298072387,0.08438364976416483,801,full plan
test,2278,0.5939420544337137,0.7378861788617885,0.7922669477924194,0.7647960748236737,0.9216555801921655,0.28540540540540543,0.6535639412997903,0.7135135135135136,0.2089676799374995,0.08485413679575005,813,full plan
